HoleID,From_m,To_m,Au_ppm,Lithology,QAQC_Flag
KW002,29,30,0.022,Phyllite,OK
KW002,30,31,0.104,Phyllite,OK
KW002,31,32,0.037,Phyllite,OK
KW002,32,33,0.08,Phyllite,OK
KW002,33,34,0.08,Phyllite,OK
KW002,34,35,0.061,Phyllite,OK
KW002,35,36,0.008,Phyllite,OK
KW002,36,37,0.144,Phyllite,OK
KW002,37,38,0.031,Phyllite,OK
KW002,38,39,0.017,Phyllite,OK
KW002,39,40,0.003,Phyllite,OK
KW002,40,41,0.072,Phyllite,OK
KW002,41,42,0.091,Phyllite,OK
KW002,42,43,0.001,Phyllite,OK
KW002,43,44,0.057,Phyllite,OK
KW002,44,45,0.021,Phyllite,OK
KW002,45,46,0.083,Greywacke,OK
KW002,46,47,0.015,Greywacke,OK
KW002,47,48,0.094,Greywacke,OK
KW002,48,49,0.039,Greywacke,OK
KW002,49,50,0.221,Greywacke,OK
KW002,50,51,0.012,Greywacke,OK
KW002,51,52,0.033,Greywacke,OK
KW002,52,53,0.01,Greywacke,OK
KW002,53,54,0.207,Greywacke,OK
KW002,54,55,0.338,Graphitic Phyllite,OK
KW002,55,56,0.121,Graphitic Phyllite,OK
KW002,56,57,0.209,Graphitic Phyllite,OK
KW002,57,58,0.281,Graphitic Phyllite,OK
KW002,58,59,0.206,Graphitic Phyllite,OK
KW002,59,60,0.34,Graphitic Phyllite,OK
KW002,60,61,4.732,Graphitic Phyllite,HIGH_OUTLIER
KW002,61,62,0.637,Graphitic Phyllite,OK
KW002,62,63,2.12,Quartz-Carbonate Vein,HIGH_OUTLIER
KW002,63,64,0.292,Graphitic Phyllite,OK
KW002,64,65,1.841,Graphitic Phyllite,OK
KW002,65,66,0.327,Graphitic Phyllite,OK
KW002,66,67,0.089,Graphitic Phyllite,OK
KW002,67,68,0.217,Graphitic Phyllite,OK
KW002,68,69,0.311,Graphitic Phyllite,OK
KW002,69,70,0.172,Graphitic Phyllite,OK
KW002,70,71,0.249,Graphitic Phyllite,OK
KW002,71,72,0.167,Carbonaceous Shale,OK
KW002,72,73,0.072,Carbonaceous Shale,OK
KW002,73,74,0.282,Carbonaceous Shale,OK
KW002,74,75,0.332,Carbonaceous Shale,OK
KW002,75,76,0.233,Carbonaceous Shale,OK
KW002,76,77,0.085,Carbonaceous Shale,OK
KW002,77,78,0.096,Carbonaceous Shale,OK
KW002,78,79,0.076,Carbonaceous Shale,OK
KW002,79,80,0.238,Carbonaceous Shale,OK
KW002,80,81,0.321,Carbonaceous Shale,OK
KW002,81,82,0.194,Carbonaceous Shale,OK
KW002,82,83,0.264,Carbonaceous Shale,OK
KW002,83,84,0.089,Carbonaceous Shale,OK
KW002,84,85,0.164,Carbonaceous Shale,OK
KW002,85,86,0.066,Carbonaceous Shale,OK
KW002,86,87,0.094,Carbonaceous Shale,OK
KW002,87,88,0.254,Carbonaceous Shale,OK
KW002,88,89,0.13,Carbonaceous Shale,OK
KW002,89,90,0.31,Carbonaceous Shale,OK
KW002,90,91,0.207,Carbonaceous Shale,OK
KW002,91,92,0.774,Carbonaceous Shale,OK
KW002,92,93,0.159,Carbonaceous Shale,OK
KW002,93,94,0.065,Carbonaceous Shale,OK
KW002,94,95,0.147,Carbonaceous Shale,OK
KW002,95,96,0.084,Carbonaceous Shale,OK
KW002,96,97,0.27,Carbonaceous Shale,OK
KW002,97,98,0.154,Carbonaceous Shale,OK
KW002,98,99,0.138,Carbonaceous Shale,OK
KW002,99,100,0.139,Carbonaceous Shale,OK
KW002,100,101,0.234,Graphitic Phyllite,OK
KW002,101,102,0.114,Graphitic Phyllite,OK
KW002,102,103,0.239,Graphitic Phyllite,OK
KW002,103,104,0.281,Graphitic Phyllite,OK
KW003,0,1,0.03,Saprolite,OK
KW003,1,2,0.015,Saprolite,OK
KW003,2,3,0.065,Saprolite,OK
KW003,3,4,0.22,Saprolite,OK
KW003,4,5,0.095,Saprolite,OK
KW003,5,6,0.068,Saprolite,OK
KW003,6,7,0.008,Saprolite,OK
KW003,7,8,0.076,Saprolite,OK
KW003,8,9,0.369,Saprolite,OK
KW003,9,10,0.012,Saprolite,OK
KW003,10,11,0.058,Saprolite,OK
KW003,11,12,0.168,Saprolite,OK
KW003,12,13,0.108,Saprolite,OK
KW003,13,14,0.096,Saprolite,OK
KW003,14,15,0.097,Saprolite,OK
KW003,15,16,0.036,Saprolite,OK
KW003,16,17,0.028,Felsic Volcanic,OK
KW003,17,18,0.133,Felsic Volcanic,OK
KW003,18,19,0.133,Felsic Volcanic,OK
KW003,19,20,0.161,Felsic Volcanic,OK
KW003,20,21,0.196,Felsic Volcanic,OK
KW003,21,22,0.057,Felsic Volcanic,OK
KW003,22,23,0.056,Felsic Volcanic,OK
KW003,23,24,0.128,Felsic Volcanic,OK
KW003,24,25,0.084,Felsic Volcanic,OK
KW003,25,26,0.097,Felsic Volcanic,OK
KW003,26,27,0.127,Felsic Volcanic,OK
KW003,27,28,0.177,Felsic Volcanic,OK
KW003,28,29,0.033,Felsic Volcanic,OK
KW003,29,30,0.038,Felsic Volcanic,OK
KW003,30,31,0.008,Phyllite,OK
KW003,31,32,0.069,Phyllite,OK
KW003,32,33,0.003,Phyllite,OK
KW003,33,34,0.05,Phyllite,OK
KW003,34,35,0.063,Phyllite,OK
KW003,35,36,0.027,Phyllite,OK
KW003,36,37,0.071,Phyllite,OK
KW003,37,38,0.002,Phyllite,OK
KW003,38,39,0.003,Phyllite,OK
KW003,39,40,0.138,Phyllite,OK
KW003,40,41,0.036,Phyllite,OK
KW003,41,42,0.011,Phyllite,OK
KW003,42,43,0.059,Phyllite,OK
KW003,43,44,0.118,Phyllite,OK
KW003,44,45,0.019,Phyllite,OK
KW003,45,46,0.078,Phyllite,OK
KW003,46,47,0.007,Phyllite,OK
KW003,47,48,0.004,Phyllite,OK
KW003,48,49,0.061,Phyllite,OK
KW003,49,50,0.062,Phyllite,OK
KW003,50,51,0.081,Phyllite,OK
KW003,51,52,0.104,Phyllite,OK
KW003,52,53,0.298,Phyllite,OK
KW003,53,54,0.058,Phyllite,OK
KW003,54,55,0.031,Phyllite,OK
KW003,55,56,0.127,Phyllite,OK
KW003,56,57,0.63,Phyllite,OK
KW003,57,58,0.586,Phyllite,OK
KW003,58,59,0.658,Quartz-Carbonate Vein,OK
KW003,59,60,0.466,Phyllite,OK
KW003,60,61,2.559,Phyllite,HIGH_OUTLIER
KW003,61,62,0.015,Phyllite,OK
KW003,62,63,0.014,Phyllite,OK
KW003,63,64,0.023,Phyllite,OK
KW003,64,65,0.064,Phyllite,OK
KW003,65,66,1.551,Greywacke,OK
KW003,66,67,1.941,Greywacke,OK
KW003,67,68,3.381,Quartz-Carbonate Vein,HIGH_OUTLIER
KW003,68,69,2.542,Greywacke,HIGH_OUTLIER
KW003,69,70,0.316,Greywacke,OK
KW003,70,71,0.023,Greywacke,OK
KW003,71,72,0.035,Greywacke,OK
KW003,72,73,0.113,Greywacke,OK
KW003,73,74,0.001,Greywacke,OK
KW003,74,75,0.01,Greywacke,OK
KW003,75,76,0.004,Greywacke,OK
KW003,76,77,0.003,Greywacke,OK
KW003,77,78,0.155,Greywacke,OK
KW003,78,79,0.097,Greywacke,OK
KW003,79,80,0.051,Greywacke,OK
KW003,80,81,0.008,Greywacke,OK
KW003,81,82,0.054,Greywacke,OK
KW003,82,83,0.051,Greywacke,OK
KW003,83,84,0.453,Graphitic Phyllite,OK
KW003,84,85,0.129,Graphitic Phyllite,OK
KW003,85,86,0.071,Graphitic Phyllite,OK
KW003,86,87,0.399,Graphitic Phyllite,OK
KW003,87,88,0.064,Graphitic Phyllite,OK
KW003,88,89,0.115,Graphitic Phyllite,OK
KW003,89,90,0.162,Graphitic Phyllite,OK
KW003,90,91,0.356,Graphitic Phyllite,OK
KW003,91,92,0.063,Graphitic Phyllite,OK
KW003,92,93,0.301,Graphitic Phyllite,OK
KW003,93,94,0.151,Graphitic Phyllite,OK
KW003,94,95,0.083,Graphitic Phyllite,OK
KW003,95,96,0.198,Graphitic Phyllite,OK
KW003,96,97,0.169,Graphitic Phyllite,OK
KW003,97,98,0.105,Graphitic Phyllite,OK
KW003,98,99,0.156,Graphitic Phyllite,OK
KW003,99,100,0.119,Graphitic Phyllite,OK
KW003,100,101,0.161,Graphitic Phyllite,OK
KW003,101,102,0.223,Graphitic Phyllite,OK
KW003,102,103,0.388,Graphitic Phyllite,OK
KW003,103,104,0.071,Graphitic Phyllite,OK
KW003,104,105,3.561,Carbonaceous Shale,HIGH_OUTLIER
KW003,105,106,0.204,Carbonaceous Shale,OK
KW003,106,107,2.214,Quartz-Carbonate Vein,HIGH_OUTLIER
KW003,107,108,1.208,Carbonaceous Shale,OK
KW003,108,109,0.974,Carbonaceous Shale,OK
KW003,109,110,0.103,Carbonaceous Shale,OK
KW003,110,111,0.132,Carbonaceous Shale,OK
KW003,111,112,0.112,Carbonaceous Shale,OK
KW003,112,113,0.105,Carbonaceous Shale,OK
KW003,113,114,0.25,Carbonaceous Shale,OK
KW003,114,115,0.186,Carbonaceous Shale,OK
KW003,115,116,0.099,Carbonaceous Shale,OK
KW003,116,117,0.257,Carbonaceous Shale,OK
KW003,117,118,0.18,Carbonaceous Shale,OK
KW003,118,119,0.244,Carbonaceous Shale,OK
KW003,119,120,0.027,Greywacke,OK
KW003,120,121,0.016,Greywacke,OK
KW003,121,122,0.111,Greywacke,OK
KW003,122,123,0.132,Greywacke,OK
KW003,123,124,0.373,Greywacke,OK
KW003,124,125,0.043,Greywacke,OK
KW003,125,126,0.037,Greywacke,OK
KW003,126,127,0.12,Greywacke,OK
KW003,127,128,0.033,Greywacke,OK
KW003,128,129,0.214,Greywacke,OK
KW003,129,130,0.156,Greywacke,OK
KW003,130,131,0.045,Greywacke,OK
KW003,131,132,0.219,Carbonaceous Shale,OK
KW003,132,133,0.246,Carbonaceous Shale,OK
KW003,133,134,0.244,Carbonaceous Shale,OK
KW003,134,135,0.328,Carbonaceous Shale,OK
KW003,135,136,0.152,Carbonaceous Shale,OK
KW003,136,137,0.226,Carbonaceous Shale,OK
KW003,137,138,0.125,Carbonaceous Shale,OK
KW003,138,139,0.182,Carbonaceous Shale,OK
KW003,139,140,0.139,Carbonaceous Shale,OK
KW003,140,141,0.159,Carbonaceous Shale,OK
KW003,141,142,0.214,Carbonaceous Shale,OK
KW003,142,143,0.092,Carbonaceous Shale,OK
KW003,143,144,0.526,Carbonaceous Shale,OK
KW003,144,145,0.082,Carbonaceous Shale,OK
KW003,145,146,0.072,Carbonaceous Shale,OK
KW003,146,147,0.089,Mafic Volcanic,OK
KW003,147,148,0.112,Mafic Volcanic,OK
KW003,148,149,0.125,Mafic Volcanic,OK
KW003,149,150,0.125,Mafic Volcanic,OK
KW003,150,151,0.008,Mafic Volcanic,OK
KW003,151,152,0.49,Mafic Volcanic,OK
KW003,152,153,0.795,Mafic Volcanic,OK
KW003,153,154,0.47,Quartz-Carbonate Vein,OK
KW003,154,155,2.763,Mafic Volcanic,HIGH_OUTLIER
KW003,155,156,0.644,Mafic Volcanic,OK
KW003,156,157,0.01,Mafic Volcanic,OK
KW003,157,158,0.012,Greywacke,OK
KW003,158,159,0.115,Greywacke,OK
KW003,159,160,0.077,Greywacke,OK
KW003,160,161,0.009,Greywacke,OK
KW003,161,162,0.007,Greywacke,OK
KW003,162,163,0.097,Greywacke,OK
KW003,163,164,0.006,Greywacke,OK
KW003,164,165,0.138,Greywacke,OK
KW003,165,166,0.098,Greywacke,OK
KW003,166,167,0.007,Greywacke,OK
KW003,167,168,0.007,Greywacke,OK
KW003,168,169,0.345,Greywacke,OK
KW003,169,170,0.038,Greywacke,OK
KW003,170,171,0.037,Greywacke,OK
KW003,171,172,0.134,Greywacke,OK
KW003,172,173,0.235,Greywacke,OK
KW003,173,174,0.342,Greywacke,OK
KW003,174,175,0.112,Greywacke,OK
KW003,175,176,0.038,Greywacke,OK
KW003,176,177,0.007,Greywacke,OK
KW003,177,178,0.12,Greywacke,OK
KW003,178,179,0.065,Greywacke,OK
KW003,179,180,0.044,Greywacke,OK
KW003,180,181,0.189,Greywacke,OK
KW003,181,182,0.009,Greywacke,OK
KW003,182,183,0.054,Greywacke,OK
KW003,183,184,1.404,Greywacke,OK
KW003,184,185,0.79,Greywacke,OK
KW003,185,186,1.984,Quartz-Carbonate Vein,OK
KW003,186,187,1.003,Greywacke,OK
KW003,187,188,0.448,Greywacke,OK
KW003,188,189,0.11,Greywacke,OK
KW003,189,190,0.07,Greywacke,OK
KW003,190,191,0.262,Greywacke,OK
KW004,0,1,0.038,Saprolite,OK
KW004,1,2,0.027,Saprolite,OK
KW004,2,3,0.162,Saprolite,OK
KW004,3,4,0.02,Saprolite,OK
KW004,4,5,0.264,Saprolite,OK
KW004,5,6,0.001,Saprolite,OK
KW004,6,7,0.28,Saprolite,OK
KW004,7,8,0.004,Saprolite,OK
KW004,8,9,0.177,Saprolite,OK
KW004,9,10,0.06,Saprolite,OK
KW004,10,11,0.397,Saprolite,OK
KW004,11,12,0.006,Saprolite,OK
KW004,12,13,0.065,Saprolite,OK
KW004,13,14,0.814,Saprolite,OK
KW004,14,15,1.134,Saprolite,OK
KW004,15,16,7.982,Quartz-Carbonate Vein,HIGH_OUTLIER
KW004,16,17,1.566,Graphitic Phyllite,OK
KW004,17,18,3.611,Graphitic Phyllite,HIGH_OUTLIER
KW004,18,19,0.095,Graphitic Phyllite,OK
KW004,19,20,0.253,Graphitic Phyllite,OK
KW004,20,21,0.91,Graphitic Phyllite,OK
KW004,21,22,3.705,Graphitic Phyllite,HIGH_OUTLIER
KW004,22,23,1.31,Quartz-Carbonate Vein,OK
KW004,23,24,0.444,Graphitic Phyllite,OK
KW004,24,25,0.526,Graphitic Phyllite,OK
KW004,25,26,0.042,Graphitic Phyllite,OK
KW004,26,27,0.109,Graphitic Phyllite,OK
KW004,27,28,0.095,Graphitic Phyllite,OK
KW004,28,29,0.164,Graphitic Phyllite,OK
KW004,29,30,0.184,Graphitic Phyllite,OK
KW004,30,31,0.462,Graphitic Phyllite,OK
KW004,31,32,0.265,Graphitic Phyllite,OK
KW004,32,33,0.106,Graphitic Phyllite,OK
KW004,33,34,0.087,Graphitic Phyllite,OK
KW004,34,35,1.129,Graphitic Phyllite,OK
KW004,35,36,0.317,Graphitic Phyllite,OK
KW004,36,37,10.821,Quartz-Carbonate Vein,HIGH_OUTLIER
KW004,37,38,1.827,Graphitic Phyllite,OK
KW004,38,39,0.576,Graphitic Phyllite,OK
KW004,39,40,0.241,Graphitic Phyllite,OK
KW004,40,41,2.064,Graphitic Phyllite,HIGH_OUTLIER
KW004,41,42,2.281,Quartz-Carbonate Vein,HIGH_OUTLIER
KW004,42,43,1.903,Graphitic Phyllite,OK
KW004,43,44,0.262,Graphitic Phyllite,OK
KW004,44,45,0.105,Graphitic Phyllite,OK
KW004,45,46,0.15,Graphitic Phyllite,OK
KW004,46,47,0.154,Graphitic Phyllite,OK
KW004,47,48,0.115,Graphitic Phyllite,OK
KW004,48,49,0.218,Graphitic Phyllite,OK
KW004,49,50,0.079,Graphitic Phyllite,OK
KW004,50,51,0.138,Graphitic Phyllite,OK
KW004,51,52,0.246,Phyllite,OK
KW004,52,53,0.075,Phyllite,OK
KW004,53,54,0.021,Phyllite,OK
KW004,54,55,0.089,Phyllite,OK
KW004,55,56,0.077,Phyllite,OK
KW004,56,57,0.035,Phyllite,OK
KW004,57,58,0.01,Phyllite,OK
KW004,58,59,0.089,Phyllite,OK
KW004,59,60,0.059,Phyllite,OK
KW004,60,61,0.118,Phyllite,OK
KW004,61,62,0.059,Phyllite,OK
KW004,62,63,0.153,Phyllite,OK
KW004,63,64,0.064,Phyllite,OK
KW004,64,65,0.066,Phyllite,OK
KW004,65,66,0.672,Phyllite,OK
KW004,66,67,1.579,Phyllite,OK
KW004,67,68,4.19,Quartz-Carbonate Vein,HIGH_OUTLIER
KW004,68,69,2.085,Phyllite,HIGH_OUTLIER
KW004,69,70,0.407,Phyllite,OK
KW004,70,71,0.012,Phyllite,OK
KW004,71,72,0.001,Phyllite,OK
KW004,72,73,0.035,Phyllite,OK
KW004,73,74,0.071,Phyllite,OK
KW004,74,75,0.04,Phyllite,OK
KW004,75,76,0.046,Phyllite,OK
KW004,76,77,0.188,Phyllite,OK
KW004,77,78,0.034,Phyllite,OK
KW004,78,79,0.058,Phyllite,OK
KW004,79,80,0.122,Phyllite,OK
KW004,80,81,0.04,Phyllite,OK
KW004,81,82,0.078,Felsic Volcanic,OK
KW004,82,83,0.159,Felsic Volcanic,OK
KW004,83,84,0.239,Felsic Volcanic,OK
KW004,84,85,0.013,Felsic Volcanic,OK
KW004,85,86,0.209,Felsic Volcanic,OK
KW004,86,87,0.054,Felsic Volcanic,OK
KW004,87,88,0.024,Felsic Volcanic,OK
KW004,88,89,0.049,Felsic Volcanic,OK
KW004,89,90,0.313,Felsic Volcanic,OK
KW004,90,91,0.054,Felsic Volcanic,OK
KW004,91,92,0.032,Felsic Volcanic,OK
KW004,92,93,0.08,Felsic Volcanic,OK
KW004,93,94,0.022,Felsic Volcanic,OK
KW004,94,95,0.006,Felsic Volcanic,OK
KW004,95,96,0.011,Felsic Volcanic,OK
KW004,96,97,0.011,Felsic Volcanic,OK
KW004,97,98,0.013,Felsic Volcanic,OK
KW004,98,99,0.012,Felsic Volcanic,OK
KW004,99,100,1.293,Felsic Volcanic,OK
KW004,100,101,0.37,Felsic Volcanic,OK
KW004,101,102,3.693,Quartz-Carbonate Vein,HIGH_OUTLIER
KW004,102,103,1.35,Felsic Volcanic,OK
KW004,103,104,0.653,Felsic Volcanic,OK
KW004,104,105,0.051,Felsic Volcanic,OK
KW004,105,106,0.088,Felsic Volcanic,OK
KW004,106,107,0.015,Felsic Volcanic,OK
KW004,107,108,0.017,Felsic Volcanic,OK
KW004,108,109,0.003,Felsic Volcanic,OK
KW004,109,110,0.015,Felsic Volcanic,OK
KW004,110,111,0.026,Felsic Volcanic,OK
KW004,111,112,0.016,Felsic Volcanic,OK
KW004,112,113,0.007,Felsic Volcanic,OK
KW004,113,114,0.01,Felsic Volcanic,OK
KW004,114,115,0.049,Felsic Volcanic,OK
KW004,115,116,0.018,Felsic Volcanic,OK
KW004,116,117,0.036,Felsic Volcanic,OK
KW004,117,118,0.056,Felsic Volcanic,OK
KW004,118,119,0.094,Felsic Volcanic,OK
KW004,119,120,0.003,Felsic Volcanic,OK
KW005,0,1,0.129,Saprolite,OK
KW005,1,2,0.079,Saprolite,OK
KW005,2,3,0.007,Saprolite,OK
KW005,3,4,0.165,Saprolite,OK
KW005,4,5,0.203,Saprolite,OK
KW005,5,6,0.005,Saprolite,OK
KW005,6,7,0.026,Saprolite,OK
KW005,7,8,0.131,Saprolite,OK
KW005,8,9,0.11,Saprolite,OK
KW005,9,10,0.016,Saprolite,OK
KW005,10,11,0.019,Saprolite,OK
KW005,11,12,0.127,Graphitic Phyllite,OK
KW005,12,13,0.038,Graphitic Phyllite,OK
KW005,13,14,0.06,Graphitic Phyllite,OK
KW005,14,15,0.341,Graphitic Phyllite,OK
KW005,15,16,0.402,Graphitic Phyllite,OK
KW005,16,17,0.672,Graphitic Phyllite,OK
KW005,17,18,1.198,Graphitic Phyllite,OK
KW005,18,19,3.207,Quartz-Carbonate Vein,HIGH_OUTLIER
KW005,19,20,6.904,Phyllite,HIGH_OUTLIER
KW005,20,21,1.752,Phyllite,OK
KW005,21,22,0.009,Phyllite,OK
KW005,22,23,0.047,Phyllite,OK
KW005,23,24,0.061,Phyllite,OK
KW005,24,25,0.022,Phyllite,OK
KW005,25,26,0.025,Phyllite,OK
KW005,26,27,0.038,Phyllite,OK
KW005,27,28,0.002,Phyllite,OK
KW005,28,29,0.031,Phyllite,OK
KW005,29,30,0.019,Phyllite,OK
KW005,30,31,0.032,Phyllite,OK
KW005,31,32,0.01,Phyllite,OK
KW005,32,33,0.177,Phyllite,OK
KW005,33,34,0.072,Phyllite,OK
KW005,34,35,0.091,Phyllite,OK
KW005,35,36,0.125,Phyllite,OK
KW005,36,37,0.055,Phyllite,OK
KW005,37,38,0.007,Phyllite,OK
KW005,38,39,0.062,Phyllite,OK
KW005,39,40,0.071,Phyllite,OK
KW005,40,41,0.109,Phyllite,OK
KW005,41,42,0.045,Phyllite,OK
KW005,42,43,0.011,Phyllite,OK
KW005,43,44,0.027,Phyllite,OK
KW005,44,45,0.036,Phyllite,OK
KW005,45,46,0.083,Phyllite,OK
KW005,46,47,0.068,Phyllite,OK
KW005,47,48,0.065,Graphitic Phyllite,OK
KW005,48,49,0.21,Graphitic Phyllite,OK
KW005,49,50,0.102,Graphitic Phyllite,OK
KW005,50,51,0.112,Graphitic Phyllite,OK
KW005,51,52,0.105,Graphitic Phyllite,OK
KW005,52,53,0.089,Graphitic Phyllite,OK
KW005,53,54,0.154,Graphitic Phyllite,OK
KW005,54,55,0.091,Graphitic Phyllite,OK
